...1,i,df_name,k,df_name_specific,Time,CalendarURL,Location,lon,lat,osm_id,class,type,display_name,lon_specific,lat_specific,osm_id_specific,place_id_specific,type_specific,display_name_specific
10,2,Carrer de Sant Eudald,30,Carrer de Sant Eudald 30,"Viernes, de 20.00 a 22.00 h.",https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/29980100030000300,Delante de casa,2.1464628,41.4142906,11470535311,place,house,"30, Carrer de Sant Eudald, Vallcarca i els Penitents, Gràcia, Barcelona, Barcelonès, Barcelona, Catalunya, 08023, España",NA,NA,NA,NA,NA,NA
11,2,Carrer de Sant Eudald,35,Carrer de Sant Eudald 35,"Viernes, de 20.00 a 22.00 h.",https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/29980100035000350,Delante de casa,2.1467484,41.4145624,11443989349,place,house,"35, Carrer de Sant Eudald, el Coll, Gràcia, Barcelona, Barcelonès, Barcelona, Catalunya, 08023, España",NA,NA,NA,NA,NA,NA
12,2,Carrer de Sant Eudald,40,Carrer de Sant Eudald 40,"Viernes, de 20.00 a 22.00 h.",https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/29980100040000400,Delante de casa,2.1469902,41.4146049,11470549670,place,house,"40, Carrer de Sant Eudald, Vallcarca i els Penitents, Gràcia, Barcelona, Barcelonès, Barcelona, Catalunya, 08023, España",NA,NA,NA,NA,NA,NA
13,2,Carrer de Sant Eudald,45,Carrer de Sant Eudald 45 - 47,"Viernes, de 20.00 a 22.00 h.",https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/29980100045000470,Delante de casa,2.1465867,41.4144024,35164361,highway,residential,"Carrer de Sant Eudald, Vallcarca i els Penitents, Gràcia, Barcelona, Barcelonès, Barcelona, Catalunya, 08023, España",NA,NA,NA,NA,NA,NA
14,2,Carrer de Sant Eudald,50,Carrer de Sant Eudald 50,"Viernes, de 20.00 a 22.00 h.",https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/29980100050000500,Delante de casa,2.1472753,41.4147974,11470549731,place,house,"50, Carrer de Sant Eudald, Vallcarca i els Penitents, Gràcia, Barcelona, Barcelonès, Barcelona, Catalunya, 08023, España",NA,NA,NA,NA,NA,NA
15,2,Carrer de Sant Eudald,55,Carrer de Sant Eudald 53 - 55,"Viernes, de 20.00 a 22.00 h.",https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/29980100053000550,Delante de casa,2.1465867,41.4144024,35164361,highway,residential,"Carrer de Sant Eudald, Vallcarca i els Penitents, Gràcia, Barcelona, Barcelonès, Barcelona, Catalunya, 08023, España",NA,NA,NA,NA,NA,NA
31,5,Carrer dels Vergós,30,Carrer dels Vergós 30,"Miércoles, de 20.00 a 22.00 h.",https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/35710300030000300,Delante de casa,2.1284992,41.3980899,12076058677,place,house,"30, Carrer dels Vergós, Les Tres Torres, Sarrià - Sant Gervasi, Barcelona, Barcelonès, Barcelona, Catalunya, 08022, España",NA,NA,NA,NA,NA,NA
32,5,Carrer dels Vergós,35,Carrer dels Vergós 35,"Miércoles, de 20.00 a 22.00 h.",https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/35710300035000350,Delante de casa,2.1291107,41.3982582,12075536390,place,house,"35-37, Carrer dels Vergós, Les Tres Torres, Sarrià - Sant Gervasi, Barcelona, Barcelonès, Barcelona, Catalunya, 08022, España",NA,NA,NA,NA,NA,NA
33,5,Carrer dels Vergós,40,Carrer dels Vergós 40,"Martes, de 20.00 a 22.00 h.",https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/35710300040000400,Delante de casa,2.1262117,41.3965108,444717169,highway,tertiary,"Carrer dels Vergós, Sarrià, Sarrià - Sant Gervasi, Barcelona, Barcelonès, Barcelona, Catalunya, 08034, España",NA,NA,NA,NA,NA,NA
34,5,Carrer dels Vergós,45,Carrer dels Vergós 45,"Martes, de 20.00 a 22.00 h.",https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/35710300045000450,Delante de casa,2.1275967,41.3972911,12075341605,place,house,"45, Carrer dels Vergós, Les Tres Torres, Sarrià - Sant Gervasi, Barcelona, Barcelonès, Barcelona, Catalunya, 08034, España",NA,NA,NA,NA,NA,NA
