"","...1","i","df_name","k","df_name_specific","Time","CalendarURL","Location"
"1",1,1,"Carrer de Feijoo",1,"Carrer de Feijoo 1","Viernes, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/12120900001000010","Delante de casa"
"2",2,1,"Carrer de Feijoo",5,"Carrer de Feijoo 6 - 8","Viernes, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/12120900006000080","Delante de casa"
"3",3,1,"Carrer de Feijoo",10,"Carrer de Feijoo 13","Viernes, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/12120900013000130","Delante de casa"
"4",4,2,"Carrer de Sant Eudald",1,"Carrer de Sant Eudald 1","Viernes, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/29980100001000010","Delante de casa"
"5",5,2,"Carrer de Sant Eudald",5,"Carrer de Sant Eudald 4B","Viernes, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/29980100004B0004B","Delante de casa"
"6",6,2,"Carrer de Sant Eudald",10,"Carrer de Sant Eudald 9","Viernes, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/29980100009000090","Delante de casa"
"7",7,2,"Carrer de Sant Eudald",15,"Carrer de Sant Eudald 14","Viernes, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/29980100014000140","Delante de casa"
"8",8,2,"Carrer de Sant Eudald",20,"Carrer de Sant Eudald 20","Viernes, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/29980100020000200","Delante de casa"
"9",9,2,"Carrer de Sant Eudald",25,"Carrer de Sant Eudald 25","Viernes, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/29980100025000250","Delante de casa"
"10",10,3,"Carrer de Bonveí",1,"Carrer de Bonveí 1","Lunes, de 20.00 a 22.00 h.","https://ajuntament.barcelona.cat/cercador-de-residus/es/calcid/04530400001000010","Delante de casa"
